MEP	id
COL1_Wnt5a|1	1563667
COL23A1|1_ANGPT1|1	1550728
COL23A1|1_ANGPT2|1	1556041
COL23A1|1_AREG	1584328
COL23A1|1_BMP2	1497683
COL23A1|1_BMP3	1521584
COL23A1|1_BMP4	1522237
COL23A1|1_BMP5|1	1575117
COL23A1|1_BMP6	1559468
COL23A1|1_BMP7	1535217
COL23A1|1_CSF2	1574037
COL23A1|1_CTGF|1	1564284
COL23A1|1_CXCL1	1561641
COL23A1|1_CXCL12|Alpha	1578835
COL23A1|1_CXCL12|Beta	1588683
COL23A1|1_CXCL8|1	1506935
COL23A1|1_DLL1|1	1575376
COL23A1|1_DLL4	1562242
COL23A1|1_EGF|1	1547976
COL23A1|1_FASLG|1	1591927
COL23A1|1_FBS	1504292
COL23A1|1_FGF2|3	1565292
COL23A1|1_FGF6	1566684
COL23A1|1_FLT3LG|1	1561084
COL23A1|1_GPNMB|1	1578419
COL23A1|1_HGF|1	1562837
COL23A1|1_IGF1|1	1558243
COL23A1|1_IGFBP2	1590035
COL23A1|1_IGFBP3|1	1581168
COL23A1|1_IL13	1551943
COL23A1|1_IL15|IL15S48AA	1579727
COL23A1|1_IL1B	1556719
COL23A1|1_IL6	1587384
COL23A1|1_IL7|1	1567037
COL23A1|1_JAG1|1	1584917
COL23A1|1_JAG2|Long	1555370
COL23A1|1_KITLG|1	1551312
COL23A1|1_KNG1|HMW	1577892
COL23A1|1_LEP	1519383
COL23A1|1_LYVE1	1553576
COL23A1|1_NRG1|1	1576469
COL23A1|1_NRG1|10	1589935
COL23A1|1_NRG1|6	1501937
COL23A1|1_PDGFAB	1583392
COL23A1|1_PDGFB|1	1568817
COL23A1|1_PTN	1570770
COL23A1|1_SHH	1590942
COL23A1|1_TGFB1||Cterminus	1549770
COL23A1|1_TGFB1||LAP	1567842
COL23A1|1_TGFB2|A	1586119
COL23A1|1_THPO|1	1554276
COL23A1|1_TNF	1530243
COL23A1|1_TNFRSF11B	1558870
COL23A1|1_TNFSF11|1	1573717
COL23A1|1_VEGFA|VEGF206	1586870
COL23A1|1_WNT10A	1569035
COL23A1|1_WNT3A|1	1582076
COL23A1|1_Wnt5a|1	1563627
COL2A1|2_ANGPT1|1	1550636
COL2A1|2_ANGPT2|1	1555931
COL2A1|2_AREG	1533635
COL2A1|2_BMP2	1548299
COL2A1|2_BMP3	1572378
COL2A1|2_BMP4	1573036
COL2A1|2_BMP5|1	1524641
COL2A1|2_BMP6	1559369
COL2A1|2_BMP7	1535138
COL2A1|2_CSF2	1523512
COL2A1|2_CTGF|1	1564373
COL2A1|2_CXCL1	1511043
COL2A1|2_CXCL12|Alpha	1578929
COL2A1|2_CXCL12|Beta	1588976
COL2A1|2_CXCL8|1	1557538
COL2A1|2_DLL1|1	1575999
COL2A1|2_DLL4	1562441
COL2A1|2_EGF|1	1547573
COL2A1|2_FASLG|1	1591533
COL2A1|2_FBS	1577294
COL2A1|2_FGF2|3	1564975
COL2A1|2_FGF6	1516099
COL2A1|2_FLT3LG|1	1561080
COL2A1|2_GPNMB|1	1578636
COL2A1|2_HGF|1	1512735
COL2A1|2_IGF1|1	1507543
