MEP	ECMp	Ligand	Spot Cell Count	2N DNA Proportion	EdU+ Proportion
CDH6|1_FLT3LG|1	CDH6|1	FLT3LG|1	8.122	0.9755	-2.3025
CDH8_FLT3LG|1	CDH8	FLT3LG|1	8.368	0.8922	-2.1481
CEACAM6_FLT3LG|1	CEACAM6	FLT3LG|1	8.292	1.13	-2.3756
COL1_FLT3LG|1	COL1	FLT3LG|1	7.977	0.7591	-2.3324
COL23A1|1_FLT3LG|1	COL23A1|1	FLT3LG|1	8.766	1.0341	-2.4696
COL2A1|2_FLT3LG|1	COL2A1|2	FLT3LG|1	7.698	0.7888	-2.2241
COL3A1|1_FLT3LG|1	COL3A1|1	FLT3LG|1	8.671	0.972	-2.3009
COL4_FLT3LG|1	COL4	FLT3LG|1	8.408	0.8925	-2.4453
COL5A1_FLT3LG|1	COL5A1	FLT3LG|1	8.317	0.8377	-2.3648
DCN|A_FLT3LG|1	DCN|A	FLT3LG|1	8.53	1.1307	-2.4221
DSG2_FLT3LG|1	DSG2	FLT3LG|1	8.426	1.2268	-2.4765
ECM1|1_FLT3LG|1	ECM1|1	FLT3LG|1	8.354	1.024	-2.3762
ELN|3_FLT3LG|1	ELN|3	FLT3LG|1	8.337	1.2384	-2.3471
FBN1_FLT3LG|1	FBN1	FLT3LG|1	8.209	1.0925	-2.2223
FN1|1_FLT3LG|1	FN1|1	FLT3LG|1	8.457	1.0982	-2.6036
GAP43|1_FLT3LG|1	GAP43|1	FLT3LG|1	8.456	1.054	-2.49
HA<500kDa_FLT3LG|1	HA<500kDa	FLT3LG|1	8.298	1.0903	-2.5055
HA>500kDa_FLT3LG|1	HA>500kDa	FLT3LG|1	8.585	1.3011	-2.4306
ICAM1_FLT3LG|1	ICAM1	FLT3LG|1	8.649	1.2239	-2.3344
ITGA10B1_FLT3LG|1	ITGA10B1	FLT3LG|1	8.896	1.1472	-2.3898
ITGA2B1_FLT3LG|1	ITGA2B1	FLT3LG|1	8.795	1.182	-2.5577
ITGA3B1_FLT3LG|1	ITGA3B1	FLT3LG|1	8.491	0.8766	-2.3216
ITGA4B1_FLT3LG|1	ITGA4B1	FLT3LG|1	8.215	1.0966	-2.4061
ITGA6B4_FLT3LG|1	ITGA6B4	FLT3LG|1	8.144	1.1244	-2.3771
ITGA9B1_FLT3LG|1	ITGA9B1	FLT3LG|1	8.266	0.9668	-2.3016
ITGAMB2_FLT3LG|1	ITGAMB2	FLT3LG|1	8.601	0.9144	-2.3953
ITGAVB6_FLT3LG|1	ITGAVB6	FLT3LG|1	8.183	1.1476	-2.3044
LAMB1_FLT3LG|1	LAMB1	FLT3LG|1	8.384	1.1204	-2.4177
LUM_FLT3LG|1	LUM	FLT3LG|1	8.585	1.1343	-2.5456
Laminin3B32_FLT3LG|1	Laminin3B32	FLT3LG|1	8.379	1.0775	-2.449
NID1|1_FLT3LG|1	NID1|1	FLT3LG|1	8.25	1.8618	-2.0183
OMD_FLT3LG|1	OMD	FLT3LG|1	8.698	1.3445	-2.5485
PECAM1|Long_FLT3LG|1	PECAM1|Long	FLT3LG|1	8.804	1.124	-2.4931
POSTN|1_FLT3LG|1	POSTN|1	FLT3LG|1	8.378	0.9378	-2.4028
SPARC_FLT3LG|1	SPARC	FLT3LG|1	8.36	1.0087	-2.4184
SPP1|A_FLT3LG|1	SPP1|A	FLT3LG|1	8.429	1.0741	-2.501
THBS1|1_FLT3LG|1	THBS1|1	FLT3LG|1	8.663	1.5548	-2.6743
TNC|1_FLT3LG|1	TNC|1	FLT3LG|1	8.323	1.0894	-2.3608
VCAM1|1_FLT3LG|1	VCAM1|1	FLT3LG|1	8.333	1.1803	-2.4966
VTN_FLT3LG|1	VTN	FLT3LG|1	8.557	1.1733	-2.6552
ALCAM|1_GPNMB|1	ALCAM|1	GPNMB|1	8.677	1.2622	-2.3339
BCAN|1_GPNMB|1	BCAN|1	GPNMB|1	8.64	1.5226	-2.4971
BGN_GPNMB|1	BGN	GPNMB|1	8.548	1.7082	-2.6274
CD44|1_GPNMB|1	CD44|1	GPNMB|1	8.644	1.6519	-2.4509
CDH15_GPNMB|1	CDH15	GPNMB|1	8.361	1.5369	-2.3365
CDH1|1_GPNMB|1	CDH1|1	GPNMB|1	8.532	1.4364	-2.2975
CDH20_GPNMB|1	CDH20	GPNMB|1	8.561	1.2585	-2.3312
CDH3|1_GPNMB|1	CDH3|1	GPNMB|1	8.617	1.6283	-2.3848
CDH6|1_GPNMB|1	CDH6|1	GPNMB|1	8.572	1.5901	-2.4184
CDH8_GPNMB|1	CDH8	GPNMB|1	8.632	1.4581	-2.3735
CEACAM6_GPNMB|1	CEACAM6	GPNMB|1	8.668	1.4104	-2.3714
COL1_GPNMB|1	COL1	GPNMB|1	8.741	1.2751	-2.5205
COL23A1|1_GPNMB|1	COL23A1|1	GPNMB|1	8.674	1.2646	-2.2943
COL2A1|2_GPNMB|1	COL2A1|2	GPNMB|1	8.484	1.231	-2.2591
COL3A1|1_GPNMB|1	COL3A1|1	GPNMB|1	8.668	1.3076	-2.281
COL4_GPNMB|1	COL4	GPNMB|1	8.704	1.5443	-2.3616
COL5A1_GPNMB|1	COL5A1	GPNMB|1	8.717	1.3818	-2.4471
DCN|A_GPNMB|1	DCN|A	GPNMB|1	8.593	1.5539	-2.4682
DSG2_GPNMB|1	DSG2	GPNMB|1	8.713	1.5072	-2.5527
ECM1|1_GPNMB|1	ECM1|1	GPNMB|1	8.678	1.5201	-2.4368
ELN|3_GPNMB|1	ELN|3	GPNMB|1	7.724	1.5214	-1.974
FBN1_GPNMB|1	FBN1	GPNMB|1	8.693	1.4397	-2.4364
FN1|1_GPNMB|1	FN1|1	GPNMB|1	8.616	1.5213	-2.221
GAP43|1_GPNMB|1	GAP43|1	GPNMB|1	8.562	1.622	-2.3895
HA<500kDa_GPNMB|1	HA<500kDa	GPNMB|1	8.489	1.6319	-2.4496
HA>500kDa_GPNMB|1	HA>500kDa	GPNMB|1	8.525	1.5642	-2.5812
ICAM1_GPNMB|1	ICAM1	GPNMB|1	8.523	1.4744	-2.3209
ITGA10B1_GPNMB|1	ITGA10B1	GPNMB|1	8.47	1.6664	-2.5018
ITGA2B1_GPNMB|1	ITGA2B1	GPNMB|1	8.534	1.5018	-2.2983
ITGA3B1_GPNMB|1	ITGA3B1	GPNMB|1	8.498	1.4989	-2.2743
ITGA4B1_GPNMB|1	ITGA4B1	GPNMB|1	8.536	1.6666	-2.3684
ITGA6B4_GPNMB|1	ITGA6B4	GPNMB|1	8.443	1.7242	-2.3404
ITGA9B1_GPNMB|1	ITGA9B1	GPNMB|1	8.539	1.6309	-2.5039
ITGAMB2_GPNMB|1	ITGAMB2	GPNMB|1	8.492	1.4625	-2.4508
ITGAVB6_GPNMB|1	ITGAVB6	GPNMB|1	8.505	1.5422	-2.4064
LAMB1_GPNMB|1	LAMB1	GPNMB|1	8.561	1.5929	-2.5661
LUM_GPNMB|1	LUM	GPNMB|1	8.674	1.5234	-2.499
Laminin3B32_GPNMB|1	Laminin3B32	GPNMB|1	8.431	1.4373	-2.3678
NID1|1_GPNMB|1	NID1|1	GPNMB|1	7.429	1.3599	-1.549
OMD_GPNMB|1	OMD	GPNMB|1	8.643	1.5006	-2.4042
PECAM1|Long_GPNMB|1	PECAM1|Long	GPNMB|1	8.541	1.356	-2.4995
POSTN|1_GPNMB|1	POSTN|1	GPNMB|1	8.501	1.3717	-2.3882
SPARC_GPNMB|1	SPARC	GPNMB|1	8.472	1.5377	-2.3455
SPP1|A_GPNMB|1	SPP1|A	GPNMB|1	8.6	1.4535	-2.564
THBS1|1_GPNMB|1	THBS1|1	GPNMB|1	8.479	1.9536	-2.6612
TNC|1_GPNMB|1	TNC|1	GPNMB|1	8.729	1.6803	-2.4375
VCAM1|1_GPNMB|1	VCAM1|1	GPNMB|1	8.569	1.3675	-2.213
VTN_GPNMB|1	VTN	GPNMB|1	8.566	1.6849	-2.5391
ALCAM|1_HGF|1	ALCAM|1	HGF|1	8.805	1.2274	-2.5984
BCAN|1_HGF|1	BCAN|1	HGF|1	8.804	1.1566	-2.4932
BGN_HGF|1	BGN	HGF|1	8.966	1.2148	-2.6566
CD44|1_HGF|1	CD44|1	HGF|1	8.917	1.3806	-2.7712
CDH15_HGF|1	CDH15	HGF|1	8.547	1.2846	-2.5691
CDH1|1_HGF|1	CDH1|1	HGF|1	8.724	1.1631	-2.6722
CDH20_HGF|1	CDH20	HGF|1	8.71	1.2548	-2.641
CDH3|1_HGF|1	CDH3|1	HGF|1	8.866	1.5996	-2.6943
CDH6|1_HGF|1	CDH6|1	HGF|1	8.801	1.3012	-2.6611
CDH8_HGF|1	CDH8	HGF|1	8.822	1.306	-2.7214
CEACAM6_HGF|1	CEACAM6	HGF|1	8.851	1.114	-2.6439
COL1_HGF|1	COL1	HGF|1	8.816	1.0161	-2.373
COL23A1|1_HGF|1	COL23A1|1	HGF|1	8.816	1.0928	-2.5868
COL2A1|2_HGF|1	COL2A1|2	HGF|1	8.761	1.1556	-2.7075
COL3A1|1_HGF|1	COL3A1|1	HGF|1	8.785	1.3376	-2.609
COL4_HGF|1	COL4	HGF|1	9.069	1.7281	-2.6721
COL5A1_HGF|1	COL5A1	HGF|1	8.727	1.0566	-2.6303
DCN|A_HGF|1	DCN|A	HGF|1	8.924	1.5823	-2.9527
DSG2_HGF|1	DSG2	HGF|1	8.855	1.375	-2.5474
ECM1|1_HGF|1	ECM1|1	HGF|1	8.828	1.2915	-2.5098
ELN|3_HGF|1	ELN|3	HGF|1	7.447	1.4341	-2.1041
FBN1_HGF|1	FBN1	HGF|1	8.863	1.4598	-2.7476
FN1|1_HGF|1	FN1|1	HGF|1	8.991	1.5744	-2.576
GAP43|1_HGF|1	GAP43|1	HGF|1	8.877	1.3771	-2.6544
HA<500kDa_HGF|1	HA<500kDa	HGF|1	8.765	1.2158	-2.9028
HA>500kDa_HGF|1	HA>500kDa	HGF|1	8.821	1.1531	-2.4462
ICAM1_HGF|1	ICAM1	HGF|1	8.858	1.4669	-2.6248
ITGA10B1_HGF|1	ITGA10B1	HGF|1	8.734	1.4093	-2.7475
ITGA2B1_HGF|1	ITGA2B1	HGF|1	8.854	1.4069	-2.7319
ITGA3B1_HGF|1	ITGA3B1	HGF|1	8.836	1.2388	-2.5669
ITGA4B1_HGF|1	ITGA4B1	HGF|1	8.74	1.1949	-2.7246
ITGA6B4_HGF|1	ITGA6B4	HGF|1	8.774	1.3073	-2.6711
ITGA9B1_HGF|1	ITGA9B1	HGF|1	8.856	1.4005	-2.5971
ITGAMB2_HGF|1	ITGAMB2	HGF|1	8.752	1.166	-2.6288
ITGAVB6_HGF|1	ITGAVB6	HGF|1	8.871	1.5573	-2.7259
LAMB1_HGF|1	LAMB1	HGF|1	8.873	1.4135	-2.6138
LUM_HGF|1	LUM	HGF|1	8.982	1.1469	-2.6457
Laminin3B32_HGF|1	Laminin3B32	HGF|1	8.854	1.2796	-2.7962
NID1|1_HGF|1	NID1|1	HGF|1	8.18	1.7353	-1.9865
OMD_HGF|1	OMD	HGF|1	8.904	1.7244	-2.56
PECAM1|Long_HGF|1	PECAM1|Long	HGF|1	8.759	1.0668	-2.735
POSTN|1_HGF|1	POSTN|1	HGF|1	8.849	1.2725	-2.7458
SPARC_HGF|1	SPARC	HGF|1	8.802	1.3378	-2.5605
SPP1|A_HGF|1	SPP1|A	HGF|1	8.738	1.5476	-2.7042
THBS1|1_HGF|1	THBS1|1	HGF|1	8.984	1.7432	-2.7047
TNC|1_HGF|1	TNC|1	HGF|1	8.933	1.4776	-2.77
VCAM1|1_HGF|1	VCAM1|1	HGF|1	8.771	1.3096	-2.5668
VTN_HGF|1	VTN	HGF|1	8.899	1.3562	-2.6481
ALCAM|1_IGF1|1	ALCAM|1	IGF1|1	8.476	1.0665	-2.4847
BCAN|1_IGF1|1	BCAN|1	IGF1|1	8.619	1.1512	-2.4313
BGN_IGF1|1	BGN	IGF1|1	8.38	0.9851	-2.4481
CD44|1_IGF1|1	CD44|1	IGF1|1	8.156	1.1147	-2.6026
CDH15_IGF1|1	CDH15	IGF1|1	8.237	0.9381	-2.4395
CDH1|1_IGF1|1	CDH1|1	IGF1|1	8.343	1.2279	-2.7361
CDH20_IGF1|1	CDH20	IGF1|1	8.415	0.9564	-2.4714
CDH3|1_IGF1|1	CDH3|1	IGF1|1	8.481	1.0885	-2.4923
CDH6|1_IGF1|1	CDH6|1	IGF1|1	8.377	1.0052	-2.5364
CDH8_IGF1|1	CDH8	IGF1|1	8.212	0.9113	-2.3475
CEACAM6_IGF1|1	CEACAM6	IGF1|1	8.096	1.0449	-2.4337
COL1_IGF1|1	COL1	IGF1|1	8.197	0.9418	-2.5346
COL23A1|1_IGF1|1	COL23A1|1	IGF1|1	8.287	1.0853	-2.588
COL2A1|2_IGF1|1	COL2A1|2	IGF1|1	8.11	0.807	-2.3611
COL3A1|1_IGF1|1	COL3A1|1	IGF1|1	8.32	0.8961	-2.406
COL4_IGF1|1	COL4	IGF1|1	8.529	1.1229	-2.669
COL5A1_IGF1|1	COL5A1	IGF1|1	8.337	0.8576	-2.2953
DCN|A_IGF1|1	DCN|A	IGF1|1	8.522	1.0663	-2.6405
DSG2_IGF1|1	DSG2	IGF1|1	8.176	1.079	-2.6858
ECM1|1_IGF1|1	ECM1|1	IGF1|1	8.467	0.9368	-2.589
ELN|3_IGF1|1	ELN|3	IGF1|1	7.899	1.351	-1.9543
FBN1_IGF1|1	FBN1	IGF1|1	8.208	1.0254	-2.638
FN1|1_IGF1|1	FN1|1	IGF1|1	8.202	1.1727	-2.5301
GAP43|1_IGF1|1	GAP43|1	IGF1|1	8.345	0.9095	-2.6891
HA<500kDa_IGF1|1	HA<500kDa	IGF1|1	8.455	1.1117	-2.3496
HA>500kDa_IGF1|1	HA>500kDa	IGF1|1	8.619	0.961	-2.5309
ICAM1_IGF1|1	ICAM1	IGF1|1	8.545	0.8807	-2.4322
ITGA10B1_IGF1|1	ITGA10B1	IGF1|1	8.34	0.9445	-2.4151
ITGA2B1_IGF1|1	ITGA2B1	IGF1|1	8.209	1.1535	-2.5188
ITGA3B1_IGF1|1	ITGA3B1	IGF1|1	8.328	0.8215	-2.6659
ITGA4B1_IGF1|1	ITGA4B1	IGF1|1	8.173	1.0792	-2.6035
ITGA6B4_IGF1|1	ITGA6B4	IGF1|1	8.308	1.093	-2.617
ITGA9B1_IGF1|1	ITGA9B1	IGF1|1	8.436	1.0616	-2.5061
ITGAMB2_IGF1|1	ITGAMB2	IGF1|1	7.703	0.6923	-2.393
ITGAVB6_IGF1|1	ITGAVB6	IGF1|1	8.534	1.1173	-2.6969
LAMB1_IGF1|1	LAMB1	IGF1|1	8.234	1.0557	-2.4944
LUM_IGF1|1	LUM	IGF1|1	8.536	1.1912	-2.516
Laminin3B32_IGF1|1	Laminin3B32	IGF1|1	8.634	1.1914	-2.6497
NID1|1_IGF1|1	NID1|1	IGF1|1	8.135	1.5626	-1.9162
OMD_IGF1|1	OMD	IGF1|1	8.631	1.1688	-2.7374
PECAM1|Long_IGF1|1	PECAM1|Long	IGF1|1	8.15	1.0369	-2.6551
POSTN|1_IGF1|1	POSTN|1	IGF1|1	8.035	0.8356	-2.4442
SPARC_IGF1|1	SPARC	IGF1|1	8.395	1.0135	-2.6138
SPP1|A_IGF1|1	SPP1|A	IGF1|1	8.032	1.0041	-2.374
THBS1|1_IGF1|1	THBS1|1	IGF1|1	8.807	1.4366	-2.7792
TNC|1_IGF1|1	TNC|1	IGF1|1	8.645	1.1939	-2.6867
VCAM1|1_IGF1|1	VCAM1|1	IGF1|1	8.255	0.8847	-2.3931
VTN_IGF1|1	VTN	IGF1|1	8.186	0.7918	-2.2938
ALCAM|1_IGFBP2	ALCAM|1	IGFBP2	8.36	1.0969	-2.4141
BCAN|1_IGFBP2	BCAN|1	IGFBP2	8.226	0.88	-2.3904
BGN_IGFBP2	BGN	IGFBP2	8.413	0.9846	-2.5884
CD44|1_IGFBP2	CD44|1	IGFBP2	8.358	1.0874	-2.5175
CDH15_IGFBP2	CDH15	IGFBP2	8.441	1.1731	-2.3967
CDH1|1_IGFBP2	CDH1|1	IGFBP2	8.367	1.084	-2.1802
CDH20_IGFBP2	CDH20	IGFBP2	8.179	0.9757	-2.511
CDH3|1_IGFBP2	CDH3|1	IGFBP2	8.41	1.1743	-2.4889
CDH6|1_IGFBP2	CDH6|1	IGFBP2	8.396	1.0142	-2.3416
CDH8_IGFBP2	CDH8	IGFBP2	8.512	1.0994	-2.409
CEACAM6_IGFBP2	CEACAM6	IGFBP2	8.01	0.8068	-2.3986
COL1_IGFBP2	COL1	IGFBP2	8.006	0.8514	-2.4717
COL23A1|1_IGFBP2	COL23A1|1	IGFBP2	8.314	1.1312	-2.2244
COL2A1|2_IGFBP2	COL2A1|2	IGFBP2	8.216	0.9386	-2.2672
COL3A1|1_IGFBP2	COL3A1|1	IGFBP2	8.431	1.0271	-2.3548
COL4_IGFBP2	COL4	IGFBP2	8.484	0.9428	-2.3128
COL5A1_IGFBP2	COL5A1	IGFBP2	8.213	0.9263	-2.1541
DCN|A_IGFBP2	DCN|A	IGFBP2	8.435	1.132	-2.5827
DSG2_IGFBP2	DSG2	IGFBP2	8.401	1.0919	-2.555
ECM1|1_IGFBP2	ECM1|1	IGFBP2	8.405	0.7901	-2.3767
ELN|3_IGFBP2	ELN|3	IGFBP2	7.906	1.0079	-1.9785
FBN1_IGFBP2	FBN1	IGFBP2	8.383	1.2971	-2.5609
FN1|1_IGFBP2	FN1|1	IGFBP2	8.321	1.2506	-2.3002
GAP43|1_IGFBP2	GAP43|1	IGFBP2	8.278	1.2293	-2.361
HA<500kDa_IGFBP2	HA<500kDa	IGFBP2	8.444	1.15	-2.3182
HA>500kDa_IGFBP2	HA>500kDa	IGFBP2	8.315	1.0037	-2.4366
ICAM1_IGFBP2	ICAM1	IGFBP2	8.148	0.7197	-2.3381
ITGA10B1_IGFBP2	ITGA10B1	IGFBP2	8.398	1.215	-2.5165
ITGA2B1_IGFBP2	ITGA2B1	IGFBP2	8.15	1.0237	-2.1785
ITGA3B1_IGFBP2	ITGA3B1	IGFBP2	8.381	1.1854	-2.5216
ITGA4B1_IGFBP2	ITGA4B1	IGFBP2	8.457	1.206	-2.5141
ITGA6B4_IGFBP2	ITGA6B4	IGFBP2	8.384	1.1174	-2.2644
ITGA9B1_IGFBP2	ITGA9B1	IGFBP2	8.418	1.0895	-2.5812
ITGAMB2_IGFBP2	ITGAMB2	IGFBP2	8.196	0.8665	-2.3401
ITGAVB6_IGFBP2	ITGAVB6	IGFBP2	8.464	1.1745	-2.4496
LAMB1_IGFBP2	LAMB1	IGFBP2	8.345	1.1649	-2.5233
LUM_IGFBP2	LUM	IGFBP2	8.385	1.0373	-2.4706
Laminin3B32_IGFBP2	Laminin3B32	IGFBP2	8.585	1.2304	-2.4898
NID1|1_IGFBP2	NID1|1	IGFBP2	7.996	1.7912	-1.8632
OMD_IGFBP2	OMD	IGFBP2	8.607	1.2032	-2.6885
PECAM1|Long_IGFBP2	PECAM1|Long	IGFBP2	8.13	1.0915	-2.4449
POSTN|1_IGFBP2	POSTN|1	IGFBP2	8.418	1.3048	-2.3148
SPARC_IGFBP2	SPARC	IGFBP2	8.496	1.1528	-2.395
SPP1|A_IGFBP2	SPP1|A	IGFBP2	8.571	1.4053	-2.5942
THBS1|1_IGFBP2	THBS1|1	IGFBP2	8.66	1.7136	-2.8321
TNC|1_IGFBP2	TNC|1	IGFBP2	8.726	1.2718	-2.4636
VCAM1|1_IGFBP2	VCAM1|1	IGFBP2	8.466	0.8662	-2.3559
VTN_IGFBP2	VTN	IGFBP2	8.48	0.9273	-2.3259
ALCAM|1_IGFBP3|1	ALCAM|1	IGFBP3|1	8.845	1.7091	-2.3225
BCAN|1_IGFBP3|1	BCAN|1	IGFBP3|1	8.759	1.8302	-2.6133
BGN_IGFBP3|1	BGN	IGFBP3|1	8.95	1.8677	-2.5569
CD44|1_IGFBP3|1	CD44|1	IGFBP3|1	9.027	1.8887	-2.5358
CDH15_IGFBP3|1	CDH15	IGFBP3|1	8.705	1.9486	-2.3537
CDH1|1_IGFBP3|1	CDH1|1	IGFBP3|1	8.794	1.9857	-2.4881
CDH20_IGFBP3|1	CDH20	IGFBP3|1	8.924	1.7466	-2.4677
CDH3|1_IGFBP3|1	CDH3|1	IGFBP3|1	8.685	1.6276	-2.5244
CDH6|1_IGFBP3|1	CDH6|1	IGFBP3|1	8.977	1.7018	-2.6888
CDH8_IGFBP3|1	CDH8	IGFBP3|1	8.937	1.5578	-2.3935
CEACAM6_IGFBP3|1	CEACAM6	IGFBP3|1	8.878	1.7453	-2.495
COL1_IGFBP3|1	COL1	IGFBP3|1	9.082	1.5793	-2.3345
COL23A1|1_IGFBP3|1	COL23A1|1	IGFBP3|1	8.976	1.8712	-2.4664
COL2A1|2_IGFBP3|1	COL2A1|2	IGFBP3|1	8.974	1.5658	-2.5547
COL3A1|1_IGFBP3|1	COL3A1|1	IGFBP3|1	9.061	1.8742	-2.4496
COL4_IGFBP3|1	COL4	IGFBP3|1	9.2	1.8967	-2.6333
COL5A1_IGFBP3|1	COL5A1	IGFBP3|1	9.062	1.5052	-2.5475
DCN|A_IGFBP3|1	DCN|A	IGFBP3|1	8.49	1.7589	-2.3808
DSG2_IGFBP3|1	DSG2	IGFBP3|1	8.908	1.8543	-2.454
ECM1|1_IGFBP3|1	ECM1|1	IGFBP3|1	8.904	1.587	-2.3907
ELN|3_IGFBP3|1	ELN|3	IGFBP3|1	8.243	1.3497	-2.3786
FBN1_IGFBP3|1	FBN1	IGFBP3|1	8.856	1.5596	-2.3171
FN1|1_IGFBP3|1	FN1|1	IGFBP3|1	8.902	2.0147	-2.5189
GAP43|1_IGFBP3|1	GAP43|1	IGFBP3|1	8.869	1.7407	-2.4993
HA<500kDa_IGFBP3|1	HA<500kDa	IGFBP3|1	8.74	1.9008	-2.5098
HA>500kDa_IGFBP3|1	HA>500kDa	IGFBP3|1	8.829	1.9038	-2.4771
ICAM1_IGFBP3|1	ICAM1	IGFBP3|1	8.722	1.6683	-2.3836
ITGA10B1_IGFBP3|1	ITGA10B1	IGFBP3|1	8.968	1.7663	-2.4222
ITGA2B1_IGFBP3|1	ITGA2B1	IGFBP3|1	8.668	1.7254	-2.3225
ITGA3B1_IGFBP3|1	ITGA3B1	IGFBP3|1	8.756	1.7754	-2.6822
ITGA4B1_IGFBP3|1	ITGA4B1	IGFBP3|1	8.96	1.8698	-2.4417
ITGA6B4_IGFBP3|1	ITGA6B4	IGFBP3|1	8.68	1.8521	-2.481
ITGA9B1_IGFBP3|1	ITGA9B1	IGFBP3|1	8.824	1.6392	-2.3575
ITGAMB2_IGFBP3|1	ITGAMB2	IGFBP3|1	8.87	1.6711	-2.3708
ITGAVB6_IGFBP3|1	ITGAVB6	IGFBP3|1	8.821	1.919	-2.4133
LAMB1_IGFBP3|1	LAMB1	IGFBP3|1	8.777	1.7891	-2.5329
LUM_IGFBP3|1	LUM	IGFBP3|1	8.927	1.8812	-2.5195
Laminin3B32_IGFBP3|1	Laminin3B32	IGFBP3|1	8.721	1.8697	-2.5389
NID1|1_IGFBP3|1	NID1|1	IGFBP3|1	7.652	1.4181	-1.3232
OMD_IGFBP3|1	OMD	IGFBP3|1	8.969	1.9741	-2.6968
PECAM1|Long_IGFBP3|1	PECAM1|Long	IGFBP3|1	8.631	1.8521	-2.5966
POSTN|1_IGFBP3|1	POSTN|1	IGFBP3|1	8.681	1.7055	-2.5828
SPARC_IGFBP3|1	SPARC	IGFBP3|1	8.775	1.706	-2.5727
SPP1|A_IGFBP3|1	SPP1|A	IGFBP3|1	8.579	1.8436	-2.561
THBS1|1_IGFBP3|1	THBS1|1	IGFBP3|1	8.764	2.0958	-2.8502
TNC|1_IGFBP3|1	TNC|1	IGFBP3|1	8.898	2.137	-2.5833
VCAM1|1_IGFBP3|1	VCAM1|1	IGFBP3|1	8.619	1.7232	-2.3401
VTN_IGFBP3|1	VTN	IGFBP3|1	8.776	2.1018	-2.478
ALCAM|1_IL13	ALCAM|1	IL13	7.65	0.7779	-2.36
BCAN|1_IL13	BCAN|1	IL13	7.67	0.6606	-2.1609
BGN_IL13	BGN	IL13	7.819	0.5789	-2.1405
CD44|1_IL13	CD44|1	IL13	7.833	0.8591	-2.5887
CDH15_IL13	CDH15	IL13	7.543	0.6531	-2.3992
CDH1|1_IL13	CDH1|1	IL13	7.778	0.6582	-2.4945
CDH20_IL13	CDH20	IL13	7.799	1.0161	-2.4571
CDH3|1_IL13	CDH3|1	IL13	8.013	0.8118	-2.5586
CDH6|1_IL13	CDH6|1	IL13	7.791	0.9401	-2.6876
CDH8_IL13	CDH8	IL13	7.475	0.5831	-2.3636
CEACAM6_IL13	CEACAM6	IL13	8.015	0.9971	-2.5119
COL1_IL13	COL1	IL13	7.339	0.7476	-2.3384
COL23A1|1_IL13	COL23A1|1	IL13	7.995	0.7734	-2.5715
COL2A1|2_IL13	COL2A1|2	IL13	7.322	0.4102	-2.3872
COL3A1|1_IL13	COL3A1|1	IL13	7.902	0.9173	-2.5427
COL4_IL13	COL4	IL13	7.816	0.6306	-2.625
COL5A1_IL13	COL5A1	IL13	6.979	0.4569	-2.2136
DCN|A_IL13	DCN|A	IL13	7.237	0.6734	-2.3154
DSG2_IL13	DSG2	IL13	7.91	0.836	-2.6023
ECM1|1_IL13	ECM1|1	IL13	7.9	0.8686	-2.5257
ELN|3_IL13	ELN|3	IL13	7.672	1.1322	-1.7495
FBN1_IL13	FBN1	IL13	7.94	0.9999	-2.7933
FN1|1_IL13	FN1|1	IL13	8.365	1.2695	-2.7393
GAP43|1_IL13	GAP43|1	IL13	7.715	0.797	-2.5699
HA<500kDa_IL13	HA<500kDa	IL13	8.088	0.7846	-2.4149
HA>500kDa_IL13	HA>500kDa	IL13	7.855	0.859	-2.385
ICAM1_IL13	ICAM1	IL13	7.954	0.832	-2.4646
ITGA10B1_IL13	ITGA10B1	IL13	7.834	0.8022	-2.2221
ITGA2B1_IL13	ITGA2B1	IL13	7.82	0.8686	-2.515
ITGA3B1_IL13	ITGA3B1	IL13	7.439	0.7159	-2.4024
ITGA4B1_IL13	ITGA4B1	IL13	7.811	0.6595	-2.2689
ITGA6B4_IL13	ITGA6B4	IL13	7.302	0.7807	-2.5666
ITGA9B1_IL13	ITGA9B1	IL13	8.251	0.8816	-2.4153
ITGAMB2_IL13	ITGAMB2	IL13	7.765	0.736	-2.3677
ITGAVB6_IL13	ITGAVB6	IL13	8.134	0.8475	-2.3688
LAMB1_IL13	LAMB1	IL13	8.205	0.9721	-2.5092
LUM_IL13	LUM	IL13	7.596	1.0148	-2.4584
Laminin3B32_IL13	Laminin3B32	IL13	7.981	0.8709	-2.3792
NID1|1_IL13	NID1|1	IL13	7.959	1.5292	-0.7085
OMD_IL13	OMD	IL13	8.177	1.0063	-2.7423
PECAM1|Long_IL13	PECAM1|Long	IL13	8.103	1.0498	-2.5456
POSTN|1_IL13	POSTN|1	IL13	7.213	0.5493	-2.4096
SPARC_IL13	SPARC	IL13	8.043	0.9296	-2.5231
SPP1|A_IL13	SPP1|A	IL13	7.765	0.6228	-2.1882
THBS1|1_IL13	THBS1|1	IL13	8.285	1.1038	-2.5299
TNC|1_IL13	TNC|1	IL13	7.983	0.9647	-2.3957
VCAM1|1_IL13	VCAM1|1	IL13	8.032	0.8794	-2.4547
VTN_IL13	VTN	IL13	7.789	0.7452	-2.2493
ALCAM|1_IL15|IL15S48AA	ALCAM|1	IL15|IL15S48AA	8.646	1.2961	-2.4105
BCAN|1_IL15|IL15S48AA	BCAN|1	IL15|IL15S48AA	8.842	1.1526	-2.4938
